date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:26:05	35856/35856	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:06%20GMT	https://realmscans.com/genres/shounen/	E:/My%20Web%20Sites/scan/realmscans.com/genres/shounen/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:06%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-1/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-1/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:06	8879/8879	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ec097b-22af%22	https://realmscans.com/wp-content/themes/realm/assets/js/search-V2.js?ver=6.1.1	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/js/search-V26a4d.js	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:06%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-215/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-215/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:07%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-214/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-214/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:07%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-213/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-213/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:08%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-212/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-212/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:37	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:38%20GMT	http://realmscans.com/wp-content/themes/realm/assets/images/crown.png	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/themes/realm/assets/images/crown.2a.delayed	(from https://realmscans.com/wp-content/cache/wpfc-minified/koocx2km/bx8vf.css)
08:26:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:38%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-211/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-211/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2011:26:38%20GMT	https://realmscans.com/i-am-a-cultivation-bigshot-chapter-210/	E:/My%20Web%20Sites/scan/realmscans.com/i-am-a-cultivation-bigshot-chapter-210/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
